Freq (Hz),Vpp_RX (V),Vpp_TX (V),Phase_Shift (deg)
100.00,9.9E37,9.9E37,9.9E37
1124.36,4.870000e-02,7.880000e+00,7.559999e+01
2148.72,9.9E37,9.9E37,6.336000e+01
3173.08,1.392000e-01,8.889999e+00,5.638554e+01
4197.44,1.786000e-01,9.450000e+00,4.896000e+01
5221.79,2.140000e-01,1.014000e+01,3.960000e+01
6246.15,2.460000e-01,1.080000e+01,3.036145e+01
7270.51,2.760000e-01,1.142000e+01,3.000000e+01
8294.87,2.980000e-01,1.200000e+01,2.857143e+01
9319.23,3.220000e-01,1.252000e+01,2.270270e+01
10343.59,3.400000e-01,1.288000e+01,2.160000e+01
11367.95,3.380000e-01,1.291000e+01,2.160000e+01
12392.31,3.400000e-01,1.288000e+01,2.160000e+01
13416.67,3.400000e-01,1.288000e+01,2.138614e+01
14441.03,3.400000e-01,1.291000e+01,1.800000e+01
15465.38,4.260000e-01,1.513000e+01,7.200000e+00
16489.74,4.260000e-01,1.505000e+01,7.200000e+00
17514.10,4.270000e-01,1.513000e+01,7.200000e+00
18538.46,4.270000e-01,1.513000e+01,7.200000e+00
19562.82,4.270000e-01,1.505000e+01,7.200000e+00
20587.18,4.270000e-01,1.513000e+01,7.200000e+00
21611.54,4.240000e-01,1.522000e+01,1.152000e+01
22635.90,4.240000e-01,1.511000e+01,1.152000e+01
23660.26,4.260000e-01,1.522000e+01,8.571429e+00
24684.62,4.240000e-01,1.513000e+01,8.640000e+00
25708.97,4.500000e-01,1.573000e+01,1.301205e+01
26733.33,4.480000e-01,1.573000e+01,1.285714e+01
27757.69,4.500000e-01,1.582000e+01,1.301205e+01
28782.05,4.480000e-01,1.573000e+01,1.301205e+01
29806.41,4.480000e-01,1.573000e+01,8.674699e+00
30830.77,4.480000e-01,1.573000e+01,1.285714e+01
31855.13,4.500000e-01,1.573000e+01,1.285714e+01
32879.49,4.500000e-01,1.573000e+01,1.301205e+01
33903.85,4.500000e-01,1.573000e+01,1.285714e+01
34928.21,4.500000e-01,1.573000e+01,1.285714e+01
35952.56,4.580000e-01,1.600000e+01,1.161290e+01
36976.92,4.600000e-01,1.600000e+01,1.161290e+01
38001.28,4.600000e-01,1.610000e+01,1.714286e+01
39025.64,4.600000e-01,1.610000e+01,1.161290e+01
40050.00,4.600000e-01,1.610000e+01,1.714286e+01
41074.36,4.600000e-01,1.610000e+01,1.161290e+01
42098.72,4.620000e-01,1.610000e+01,1.152000e+01
43123.08,4.600000e-01,1.600000e+01,1.152000e+01
44147.44,4.620000e-01,1.610000e+01,8.640000e+00
45171.79,4.660000e-01,1.628000e+01,7.200000e+00
46196.15,4.670000e-01,1.628000e+01,7.200000e+00
47220.51,4.670000e-01,1.628000e+01,7.200000e+00
48244.87,4.670000e-01,1.628000e+01,7.200000e+00
49269.23,4.660000e-01,1.628000e+01,7.200000e+00
50293.59,4.660000e-01,1.619000e+01,7.200000e+00
51317.95,4.640000e-01,1.628000e+01,7.200000e+00
52342.31,4.670000e-01,1.628000e+01,7.200000e+00
53366.67,4.670000e-01,1.628000e+01,7.200000e+00
54391.03,4.670000e-01,1.628000e+01,7.200000e+00
55415.38,4.720000e-01,1.628000e+01,8.571428e+00
56206.90,4.720000e-01,1.628000e+01,8.674699e+00
57241.38,4.720000e-01,1.628000e+01,8.571428e+00
58275.86,4.720000e-01,1.628000e+01,8.571428e+00
59310.34,4.730000e-01,1.628000e+01,8.674699e+00
60344.83,4.700000e-01,1.628000e+01,8.674699e+00
61379.31,4.720000e-01,1.637000e+01,8.674699e+00
62413.79,4.700000e-01,1.628000e+01,8.571428e+00
63448.28,4.720000e-01,1.628000e+01,8.674699e+00
64482.76,4.720000e-01,1.628000e+01,8.674699e+00
65517.24,4.740000e-01,1.628000e+01,1.000000e+01
66551.72,4.720000e-01,1.628000e+01,1.000000e+01
67586.21,4.720000e-01,1.628000e+01,1.000000e+01
68620.69,4.720000e-01,1.628000e+01,1.000000e+01
69655.17,4.740000e-01,1.628000e+01,1.000000e+01
70689.66,4.740000e-01,1.628000e+01,1.000000e+01
71724.14,4.740000e-01,1.628000e+01,1.014085e+01
72758.62,4.720000e-01,1.628000e+01,1.000000e+01
73793.10,4.740000e-01,1.637000e+01,1.000000e+01
74827.59,4.740000e-01,1.628000e+01,1.014085e+01
75862.07,4.760000e-01,1.637000e+01,1.161290e+01
76896.55,4.760000e-01,1.651000e+01,1.142857e+01
77931.03,4.760000e-01,1.628000e+01,1.142857e+01
78965.52,4.740000e-01,1.628000e+01,1.142857e+01
80000.00,4.760000e-01,1.637000e+01,1.161290e+01
