Freq (Hz),Vpp_RX (V),Vpp_TX (V),Phase_Shift (deg)
100.00,2.400000e-04,7.999991e-05,9.9E37
1124.36,3.010000e-03,1.090000e+00,7.935871e+00
2148.72,1.591000e-02,5.710000e+00,-1.728000e+01
3173.08,1.428000e-03,4.480000e-01,-3.301775e+01
4197.44,1.822000e-02,7.530000e+00,-4.752000e+01
5221.79,1.380000e-03,5.720000e-01,-6.660001e+01
6246.15,6.240000e-04,3.120000e-01,9.9E37
7270.51,4.860000e-03,2.700000e+00,-8.055944e+01
8294.87,6.440000e-03,4.090000e+00,-9.230769e+01
9319.23,1.632000e-02,1.135000e+01,-1.013718e+02
10343.59,1.008000e-03,7.040000e-01,9.9E37
11367.95,1.920000e-03,1.380000e+00,-1.137600e+02
12392.31,3.360000e-04,1.920000e-01,9.9E37
13416.67,7.560000e-04,5.760000e-01,9.9E37
14441.03,1.008000e-03,7.040000e-01,9.9E37
15465.38,7.520000e-03,1.387000e+01,9.9E37
16489.74,7.480000e-03,1.382000e+01,9.9E37
17514.10,7.080000e-03,1.246000e+01,9.9E37
18538.46,3.600000e-04,1.848000e-01,9.9E37
19562.82,9.600000e-04,1.363000e+00,-1.494071e+02
20587.18,7.390000e-03,1.322000e+01,9.9E37
21611.54,7.360000e-03,1.337000e+01,9.9E37
22635.90,7.480000e-03,1.407000e+01,9.9E37
23660.26,7.210000e-03,1.292000e+01,9.9E37
24684.62,7.360000e-03,1.332000e+01,9.9E37
25708.97,4.000000e-04,3.920000e-01,9.9E37
26733.33,4.400000e-04,4.810000e-01,9.9E37
27757.69,6.800000e-04,1.320000e+00,9.9E37
28782.05,4.000000e-04,5.390000e-01,9.9E37
29806.41,6.800000e-04,1.150000e+00,4.436363e+02
30830.77,6.800000e-04,1.010000e+00,9.9E37
31855.13,6.800000e-04,8.252000e-01,9.9E37
32879.49,6.800000e-04,1.089000e+00,9.9E37
33903.85,5.200000e-04,7.276000e-01,7.145455e+02
34928.21,6.000000e-04,6.400000e-01,-5.376623e+01
35952.56,2.320000e-03,9.880000e+00,9.9E37
36976.92,1.800000e-03,1.351000e+01,9.9E37
38001.28,2.160000e-03,1.380000e+01,9.9E37
39025.64,2.280000e-03,1.356000e+01,9.9E37
40050.00,2.240000e-03,1.086000e+01,9.9E37
41074.36,2.320000e-03,9.9E37,9.9E37
42098.72,2.240000e-03,1.414000e+01,9.9E37
43123.08,2.360000e-03,9.9E37,9.9E37
44147.44,2.240000e-03,9.9E37,9.9E37
45171.79,1.240000e-03,9.809999e+00,1.042105e+02
46196.15,3.200000e-04,6.720000e-01,9.9E37
47220.51,6.400000e-04,6.330000e+00,1.349068e+02
48244.87,4.400000e-04,2.550000e+00,9.9E37
49269.23,8.400000e-04,6.670000e+00,9.918368e+01
50293.59,4.400000e-04,1.122000e+00,9.9E37
51317.95,6.400000e-04,5.050000e+00,9.9E37
52342.31,4.800000e-04,3.640000e+00,9.9E37
53366.67,4.000000e-04,7.100000e-01,9.9E37
54391.03,6.000000e-04,4.090000e+00,2.339350e+02
55415.38,3.600000e-04,1.556000e+00,9.9E37
56439.74,2.400000e-04,1.232000e+00,9.9E37
57464.10,2.800000e-04,6.700000e-01,9.9E37
58488.46,4.000000e-04,5.280000e-02,9.9E37
59512.82,2.800000e-04,2.640000e-01,9.9E37
60537.18,2.800000e-04,9.800000e-02,9.9E37
61561.54,3.600000e-04,2.160000e+00,9.9E37
62585.90,8.400000e-04,4.780000e+00,9.383886e+01
63610.26,2.800000e-04,2.078000e-01,9.9E37
64634.62,2.400000e-04,2.810000e-01,9.9E37
65658.97,2.400000e-04,8.100000e-01,9.9E37
66683.33,3.600000e-04,1.469000e+00,9.9E37
67707.69,2.400000e-04,1.176000e+00,9.9E37
68732.05,2.000000e-04,3.520000e-01,9.9E37
69756.41,3.200000e-04,1.176000e+00,9.9E37
70780.77,3.200000e-04,9.980000e-01,9.9E37
71805.13,3.600000e-04,1.602000e+00,9.9E37
72829.49,3.600000e-04,5.300000e-01,9.9E37
73853.85,2.000000e-04,2.400000e-01,9.9E37
74878.21,3.200000e-04,5.100000e-01,9.9E37
75902.56,2.000000e-04,3.410000e-01,9.9E37
76926.92,2.400000e-04,2.790000e-01,9.9E37
77951.28,2.800000e-04,3.880000e-01,9.9E37
78975.64,3.600000e-04,1.175000e+00,9.9E37
80000.00,2.400000e-04,2.560000e-01,9.9E37
