Freq (Hz),Vpp_RX (V),Vpp_TX (V),Phase_Shift (deg)
100.00,5.200000e-04,0.000000e+00,9.9E37
1124.36,3.740000e-03,2.002000e+00,3.600000e+00
2148.72,8.320000e-03,4.350000e+00,-2.007968e+01
3173.08,5.440000e-04,2.490000e-01,9.9E37
4197.44,1.461000e-02,8.790000e+00,-4.608000e+01
5221.79,2.012000e-03,1.296000e+00,-6.268657e+01
6246.15,1.360000e-03,9.360000e-01,-6.642857e+01
7270.51,5.750000e-03,4.590000e+00,-8.559441e+01
8294.87,5.600000e-04,1.061000e+00,9.9E37
9319.23,8.560000e-03,2.857000e+00,9.9E37
10343.59,1.074000e-02,9.9E37,9.9E37
11367.95,1.068000e-02,9.9E37,9.9E37
12392.31,1.070000e-02,9.9E37,9.9E37
13416.67,1.074000e-02,9.9E37,9.9E37
14441.03,1.080000e-02,7.780000e+00,9.9E37
15465.38,5.400000e-03,9.9E37,9.9E37
16489.74,5.480000e-03,1.305000e+01,9.9E37
17514.10,7.200000e-04,1.512000e+00,9.9E37
18538.46,5.440000e-03,1.327000e+01,9.9E37
19562.82,1.680000e-03,3.980000e+00,-1.520319e+02
20587.18,5.400000e-03,1.305000e+01,9.9E37
21611.54,4.000000e-04,6.400000e-01,9.9E37
22635.90,7.200000e-04,1.512000e+00,9.9E37
23660.26,5.360000e-03,9.9E37,9.9E37
24684.62,4.920000e-03,1.081000e+01,9.9E37
25708.97,3.000000e-03,1.446000e+01,9.9E37
26733.33,2.920000e-03,1.459000e+01,9.9E37
27757.69,2.920000e-03,1.428000e+01,9.9E37
28782.05,1.560000e-03,7.380000e+00,1.583132e+02
29806.41,2.960000e-03,1.447000e+01,9.9E37
30830.77,2.920000e-03,1.447000e+01,9.9E37
31855.13,6.000000e-04,1.165000e+00,9.9E37
32879.49,3.000000e-03,1.465000e+01,9.9E37
33903.85,2.520000e-03,1.235000e+01,9.9E37
34928.21,2.960000e-03,1.453000e+01,9.9E37
35952.56,1.240000e-03,9.720000e+00,9.9E37
36976.92,1.640000e-03,1.337000e+01,9.9E37
38001.28,1.560000e-03,1.278000e+01,1.310400e+02
39025.64,9.600000e-04,8.160000e+00,9.9E37
40050.00,4.800000e-04,2.650000e+00,9.9E37
41074.36,6.000000e-04,3.770000e+00,9.9E37
42098.72,1.120000e-03,5.740000e+00,9.9E37
43123.08,1.120000e-03,8.320000e+00,9.9E37
44147.44,1.040000e-03,7.870000e+00,1.360975e+02
45171.79,4.000000e-04,3.940000e+00,9.9E37
46196.15,4.000000e-04,3.880000e+00,9.9E37
47220.51,2.800000e-04,1.836000e+00,9.9E37
48244.87,5.200000e-04,2.870000e+00,-2.191304e+02
49269.23,3.200000e-04,2.450000e+00,9.9E37
50293.59,3.600000e-04,2.460000e+00,9.9E37
51317.95,6.800000e-04,6.820000e+00,1.260000e+02
52342.31,3.600000e-04,2.660000e+00,9.9E37
53366.67,4.400000e-04,3.770000e+00,9.9E37
54391.03,4.800000e-04,2.460000e+00,9.9E37
55415.38,2.400000e-04,2.350000e+00,9.9E37
56439.74,2.800000e-04,1.664000e+00,9.9E37
57464.10,2.800000e-04,1.526000e+00,9.9E37
58488.46,2.400000e-04,1.860000e+00,9.9E37
59512.82,2.400000e-04,5.340000e-01,9.9E37
60537.18,3.200000e-04,2.280000e+00,9.9E37
61561.54,3.600000e-04,1.546000e+00,9.9E37
62585.90,3.600000e-04,2.750000e+00,9.9E37
63610.26,2.000000e-04,2.600000e-01,9.9E37
64634.62,2.400000e-04,3.460000e-01,9.9E37
65658.97,2.800000e-04,3.900000e+00,9.9E37
66683.33,2.400000e-04,1.296000e+00,9.9E37
67707.69,2.000000e-04,2.640000e-01,9.9E37
68732.05,2.400000e-04,2.650000e+00,9.9E37
69756.41,2.000000e-04,4.320000e-01,9.9E37
70780.77,2.800000e-04,9.600000e-01,9.9E37
71805.13,2.000000e-04,5.600000e-01,9.9E37
72829.49,3.200000e-04,3.040000e+00,9.9E37
73853.85,2.400000e-04,1.138000e+00,9.9E37
74878.21,2.000000e-04,1.006000e+00,9.9E37
75902.56,3.200000e-04,2.780000e+00,9.9E37
76926.92,2.400000e-04,8.160000e-01,9.9E37
77951.28,2.400000e-04,3.390000e-01,9.9E37
78975.64,2.000000e-04,1.850000e+00,9.9E37
80000.00,2.000000e-04,8.040000e-01,9.9E37
