Time (s),Voltage (V)
-1.200000000000000030e-05,2.000781730176729667e+00
-1.190123456790123565e-05,2.000778702213132476e+00
-1.180246913580246930e-05,1.801556841498420880e+00
-1.170370370370370465e-05,1.801556841498420880e+00
-1.160493827160493830e-05,1.801556841498420880e+00
-1.150617283950617365e-05,1.801562897425615262e+00
-1.140740740740740730e-05,2.198444142141010360e+00
-1.130864197530864265e-05,2.198444142141010360e+00
-1.120987654320987630e-05,2.198444142141010360e+00
-1.111111111111111164e-05,1.800784698906564785e+00
-1.101234567901234530e-05,2.198444142141010360e+00
-1.091358024691358064e-05,2.198444142141010360e+00
-1.081481481481481429e-05,2.198441102303043237e+00
-1.071604938271604964e-05,2.198444142141010360e+00
-1.061728395061728499e-05,2.198444142141010360e+00
-1.051851851851851864e-05,2.198438086213812426e+00
-1.041975308641975398e-05,2.198438086213812426e+00
-1.032098765432098764e-05,1.801556841498420880e+00
-1.022222222222222298e-05,1.801556841498420880e+00
-1.012345679012345664e-05,1.801556841498420880e+00
-1.002469135802469198e-05,2.199219324570826473e+00
-9.925925925925925634e-06,2.199222352534427216e+00
-9.827160493827160980e-06,2.199219324570826473e+00
-9.728395061728396326e-06,2.199219324570826473e+00
-9.629629629629629978e-06,2.000781730176729667e+00
-9.530864197530863630e-06,2.199219324570826473e+00
-9.432098765432098977e-06,2.398441173411171690e+00
-9.333333333333334323e-06,2.000781730176729667e+00
-9.234567901234567975e-06,2.000781730176729667e+00
-9.135802469135803321e-06,2.199219324570826473e+00
-9.037037037037036973e-06,2.001556900732179400e+00
-8.938271604938272319e-06,2.199222352534427216e+00
-8.839506172839505972e-06,2.199219324570826473e+00
-8.740740740740741318e-06,2.199222352534427216e+00
-8.641975308641974970e-06,2.000778702213132476e+00
-8.543209876543210316e-06,2.199219324570826473e+00
-8.444444444444445662e-06,2.000781730176729667e+00
-8.345679012345679314e-06,2.199219324570826473e+00
-8.246913580246912967e-06,2.199219324570826473e+00
-8.148148148148148313e-06,2.000778702213132476e+00
-8.049382716049383659e-06,2.000778702213132476e+00
-7.950617283950617311e-06,2.000781730176729667e+00
-7.851851851851850963e-06,2.199222352534427216e+00
-7.753086419753086309e-06,2.199219324570826473e+00
-7.654320987654321656e-06,2.199222352534427216e+00
-7.555555555555556155e-06,2.199222352534427216e+00
-7.456790123456790654e-06,2.199222352534427216e+00
-7.358024691358025153e-06,2.199219324570826473e+00
-7.259259259259259652e-06,2.199222352534427216e+00
-7.160493827160494151e-06,2.199222352534427216e+00
-7.061728395061728651e-06,2.000781730176729667e+00
-6.962962962962963150e-06,2.000778702213132476e+00
-6.864197530864197649e-06,2.000781730176729667e+00
-6.765432098765432148e-06,2.000781730176729667e+00
-6.666666666666666647e-06,2.000778702213132476e+00
-6.567901234567901147e-06,2.000778702213132476e+00
-6.469135802469135646e-06,2.000778702213132476e+00
-6.370370370370370145e-06,2.199222352534427216e+00
-6.271604938271605491e-06,2.000781730176729667e+00
-6.172839506172839990e-06,2.199219324570826473e+00
-6.074074074074074489e-06,2.199222352534427216e+00
-5.975308641975308989e-06,2.000778702213132476e+00
-5.876543209876543488e-06,2.000781730176729667e+00
-5.777777777777777987e-06,2.199216284732862903e+00
-5.679012345679012486e-06,1.801562909299981641e+00
-5.580246913580246985e-06,1.801556841498420880e+00
-5.481481481481481484e-06,1.801556841498420880e+00
-5.382716049382715984e-06,1.801556841498420880e+00
-5.283950617283950483e-06,1.801556841498420880e+00
-5.185185185185184982e-06,2.198444142141010360e+00
-5.086419753086419481e-06,2.198444142141010360e+00
-4.987654320987654827e-06,2.198444142141010360e+00
-4.888888888888889326e-06,2.198444142141010360e+00
-4.790123456790123826e-06,1.800006500387514308e+00
-4.691358024691358325e-06,1.999222281426298764e+00
-4.592592592592592824e-06,1.999222281426298764e+00
-4.493827160493827323e-06,1.999222281426298764e+00
-4.395061728395061822e-06,1.999222281426298764e+00
-4.296296296296296321e-06,1.999222281426298764e+00
-4.197530864197531668e-06,1.999222281426298764e+00
-4.098765432098765320e-06,1.999222281426298764e+00
-4.000000000000000666e-06,1.999222281426298764e+00
-3.901234567901234318e-06,1.800003460549550738e+00
-3.802469135802469664e-06,1.999222281426298764e+00
-3.703703703703703317e-06,1.999222281426298764e+00
-3.604938271604938663e-06,1.999222281426298764e+00
-3.506172839506172315e-06,2.198441102303043237e+00
-3.407407407407407661e-06,2.198444142141010360e+00
-3.308641975308641313e-06,1.801562897425615262e+00
-3.209876543209876659e-06,2.198444142141010360e+00
-3.111111111111112006e-06,1.801562897425615262e+00
-3.012345679012345658e-06,2.000781730176729667e+00
-2.913580246913581004e-06,2.199222352534427216e+00
-2.814814814814814656e-06,2.000778702213132476e+00
-2.716049382716050002e-06,2.199219324570826473e+00
-2.617283950617283654e-06,2.398444213249138812e+00
-2.518518518518519001e-06,2.398444213249138812e+00
-2.419753086419752653e-06,2.398444213249138812e+00
