Pressure DMM (V_avg),Particle Peak-to-Peak (Vpp),Trigger Count
9.032592,16.863999999999997,317
8.998829,16.856,311
8.991238,16.808,341
8.923161,16.688,320
8.904297,16.676000000000005,309
8.872759,16.612000000000002,331
8.861238,16.599999999999998,309
8.797659,16.860000000000003,346
8.734933,16.779999999999998,295
8.762341,16.2,323
8.727592,16.436000000000003,302
8.707541,16.632,301
8.653076,16.363999999999997,306
8.637726,16.38,332
8.588897,15.920000000000002,310
8.565084,16.244,297
8.490668,16.172,318
8.513545,16.196,291
8.486939,15.919999999999998,312
8.448261,15.976,292
8.419649,16.164,304
8.3352,16.199999999999996,314
8.362943,15.336,315
8.325619,15.631999999999996,322
8.292341,14.416000000000002,311
8.203829,15.179999999999998,330
8.194598,15.692000000000004,290
8.19102,15.443999999999996,291
8.170651,15.684,288
8.116906,15.708000000000002,305
8.076287,14.560000000000002,304
8.061455,15.892,302
8.030217,14.296,303
7.983963,14.828,304
7.985301,15.143999999999997,329
7.91214,15.168,294
7.878495,15.032,338
7.857625,14.592000000000002,309
7.827726,15.308000000000002,299
7.810117,14.283999999999995,309
7.77087,14.668,280
9.900000000000001e+37,14.724000000000004,320
9.900000000000001e+37,14.127999999999997,291
9.900000000000001e+37,13.94,304
9.900000000000001e+37,14.467999999999998,293
9.900000000000001e+37,13.532,289
9.900000000000001e+37,12.907999999999998,298
9.900000000000001e+37,14.207999999999998,316
9.900000000000001e+37,12.668,297
9.900000000000001e+37,13.784000000000002,279
9.900000000000001e+37,13.648,314
9.900000000000001e+37,13.944000000000004,288
9.900000000000001e+37,13.24,317
9.900000000000001e+37,13.724,329
9.900000000000001e+37,12.48,314
9.900000000000001e+37,13.976000000000004,268
9.900000000000001e+37,13.072,325
9.900000000000001e+37,13.112,342
9.900000000000001e+37,13.216,286
9.900000000000001e+37,12.976000000000004,313
9.900000000000001e+37,12.44,291
9.900000000000001e+37,12.536,293
9.900000000000001e+37,13.236,311
9.900000000000001e+37,13.216,325
9.900000000000001e+37,13.336000000000002,282
9.900000000000001e+37,12.228000000000002,299
9.900000000000001e+37,12.992,288
9.900000000000001e+37,12.595999999999998,298
9.900000000000001e+37,12.283999999999995,309
9.900000000000001e+37,12.56,289
9.900000000000001e+37,11.744,320
9.900000000000001e+37,12.288,322
9.900000000000001e+37,12.416,316
9.900000000000001e+37,12.516000000000002,284
9.900000000000001e+37,12.044,286
9.900000000000001e+37,12.128000000000002,323
9.900000000000001e+37,11.308000000000002,313
9.900000000000001e+37,12.104,303
9.900000000000001e+37,11.88,336
9.900000000000001e+37,11.72,330
9.900000000000001e+37,11.895999999999995,322
9.900000000000001e+37,12.047999999999998,303
9.900000000000001e+37,11.608,308
9.900000000000001e+37,11.127999999999998,331
9.900000000000001e+37,10.988,305
9.900000000000001e+37,10.744,295
9.900000000000001e+37,11.904000000000002,317
9.900000000000001e+37,11.1,335
9.900000000000001e+37,11.052,272
9.900000000000001e+37,11.256,276
9.900000000000001e+37,11.0160002,311
9.900000000000001e+37,10.708000000000002,315
9.900000000000001e+37,10.38000015,300
9.900000000000001e+37,11.068,291
9.900000000000001e+37,10.648,295
9.900000000000001e+37,9.5119998,294
9.900000000000001e+37,9.816000000000004,312
9.900000000000001e+37,9.12,309
9.900000000000001e+37,10.111999999999998,289
9.900000000000001e+37,10.824000000000002,319
9.900000000000001e+37,10.395999999999995,318
9.900000000000001e+37,10.384000000000002,278
9.900000000000001e+37,9.836000000000002,291
9.900000000000001e+37,9.696000000000002,283
9.900000000000001e+37,9.91599975,273
9.900000000000001e+37,9.704000000000002,291
9.900000000000001e+37,8.424000000000001,314
9.900000000000001e+37,9.508,302
9.900000000000001e+37,9.604000000000005,290
9.900000000000001e+37,9.324,332
9.900000000000001e+37,9.412,292
9.900000000000001e+37,9.47599985,278
9.900000000000001e+37,9.296000199999998,259
9.900000000000001e+37,9.327999600000002,310
9.900000000000001e+37,9.3200001,254
9.900000000000001e+37,9.2199998,273
9.900000000000001e+37,8.964,256
9.900000000000001e+37,8.888000199999999,264
9.900000000000001e+37,9.0799998,246
9.900000000000001e+37,8.6519998,291
9.900000000000001e+37,8.943999999999999,308
9.900000000000001e+37,8.535999599999998,298
9.900000000000001e+37,8.41999985,257
9.900000000000001e+37,8.631999249999998,171
9.900000000000001e+37,8.928000000000003,328
9.900000000000001e+37,8.711999699999998,302
9.900000000000001e+37,8.479999900000001,269
9.900000000000001e+37,7.359999999999999,508
